Heart,11280,6271,23281,253017,6389,4633,4634,27089,7867,7384,253512,5318,10289,199699,9213,132228,23676,401036,1339,28969,401265,682,1000,9927,7168,285025,1482,645745,57644,10529,400916,93058,8817,7139,845,1410,4967,9172,9200,5137,254428,130827,1346,647286,345557,51660,2700,27231,8707,1666,255798,57467,4607,5160,6939,27254,79933,4726,282996,3270,26548,100820829,4625,57451,291,1349,27129,150084,8988,128486,8048,56950,27063,150572,1375,4694,51086,2170,4706,6262,91807,9377,64091,2274,80206,152926,6508,70,6345,6546,8528,376132,5350,1160,6445,6331,7137,23417,4190,51778,83875
Artery,11280,51435,8515,4256,22801,83690,9358,11248,10875,5627,93166,10516,2487,84168,23012,26032,221749,83872,4628,3485,84620,6769,4958,151449,4092,2131,50507,1012,81578,4240,112609,55022,57575,4054,5154,4052,4053,2202,114898,390664,80310,79750,54360,3490,1240,5358,100288695,89796,89797,1462,4969,4627,8516,2621,1404,2303,7166,4881,54751,7373,2006,200150,165,4982,147,8997,145864,2569,6915,11238,389558,119587,5592,60598,2327,11060,633,55559,89822,23641,6649,79783,23213,55107,54829,4642,1295,64094,1296,2331,59352,1953,3693,3741,5549,5311,7058,337876,57188,5099,50964
Brain,11280,222183,84530,100271715,90668,157848,339488,146713,56253,1159,4661,2905,440829,85455,130733,64137,81559,219539,6511,1951,401647,346702,25837,402665,8497,642597,126520,124842,9671,84911,9196,85508,8822,30012,161497,3975,2196,30813,343702,5816,400224,64106,23255,773,100288142,8913,10893,80036,440730,117532,112476,4992,26249,5080,51764,1610,146325,8718,343472,10178,56751,138307,3746,51305,84465,341880,114088,90525,10690,23263,29906,5015,4760,50614,390598,2895,285888,2020,340260,85416,25806,388228,348487,57679,8786,729665,441151,266727,5310,3445,27443,284339,2914,123591,57732,7547,84107,7546,10369,146429,134829
Artery,11280,8515,4256,22801,83690,133396,116328,23189,11248,93166,4016,10516,2487,84168,23012,26032,221749,83872,4628,3485,84620,6769,4958,151449,152,2131,50507,1012,81578,4240,112609,55022,977,27328,4054,5154,4052,4053,2202,11010,114898,390664,56937,80310,79750,54360,3490,5358,100288695,89797,1462,4969,4239,4627,8516,2621,2303,7166,2296,4881,54751,7373,2006,63976,200150,165,4982,147,8997,145864,6915,389558,119587,5592,5739,60598,11060,633,55559,89822,23641,6649,79783,23213,55107,54829,4642,1295,64094,1296,2331,59352,1953,3693,5549,5311,7058,83604,57188,5099,50964
Heart,11280,9086,6271,23281,253017,6389,4633,4634,27089,7867,7384,253512,5318,10289,199699,132228,23676,401036,1339,28969,401265,682,1000,9927,7168,285025,1482,645745,57644,10529,2805,400916,93058,8817,7139,845,1410,4967,9172,5137,254428,130827,1346,647286,51660,2700,1666,255798,57467,4607,5160,6939,51295,27254,79933,4726,282996,3270,26548,50,100820829,4625,57451,291,1349,27129,8988,128486,2110,3945,8048,56950,1375,4694,51086,2170,4706,7093,6262,91807,9377,64091,434,2274,80206,152926,6508,70,6345,6546,8528,376132,5350,1160,6445,6331,7137,23417,4190,51778,83875
Heart,11280,643226,9086,6271,23281,253017,27122,283310,58498,285489,4635,115701,199699,10021,2199,10518,401265,57105,55353,57057,285025,1482,645745,9910,10529,7139,65268,845,2257,7381,254428,130827,94031,5322,2626,647286,84626,4878,27231,4879,4902,1573,57467,4607,100130613,30819,137902,6755,27254,79933,282996,3270,10763,5066,54205,26548,100820829,84675,4624,291,27302,150084,8988,128486,3316,353116,121130,56961,51725,400258,26493,201140,27063,51086,6910,100130827,2170,646643,4706,374569,26577,2022,6262,91807,64091,51422,6508,70,1397,6546,376132,9719,1145,343263,6331,196410,51778,83875,11173,10699,348093
Artery,11280,55295,81,84904,387882,6423,152330,1464,10398,7094,4919,388630,6093,6876,104,10129,85407,1311,1004,4908,26032,2316,182,4162,9828,11034,7881,4092,221935,10231,3339,4059,4854,387763,79785,285671,57583,4026,7145,7052,283349,56937,3490,80303,5358,5165,463,3678,3351,2300,388,55740,9244,59,3398,83643,51285,80781,2303,25932,2296,54751,7373,57558,2843,25802,165,389125,6451,1466,6915,6237,55617,147906,6251,644538,5592,94274,4916,26030,126374,8470,9096,79974,4642,83892,5023,253827,347902,3741,9457,10974,5549,176,347252,23493,219,337876,83604,10290,3717
Artery,11280,8515,1462,4256,4969,283208,4239,8516,83643,2444,388630,80781,1404,64129,54751,101928788,2006,63976,2843,165,4982,8997,84168,2307,343450,1466,6915,4908,25902,26032,119587,7076,644538,5592,3485,94274,6909,90865,4916,182,5740,84620,6272,4958,60598,633,55559,89822,126374,1503,390243,26508,9096,54829,79974,4642,1284,1286,8510,81578,2331,26577,59352,4240,1842,1953,3075,3693,10234,3741,79960,5322,5154,5549,8425,1396,4052,4053,7058,84662,420,7052,2202,2702,3490,1240,6363,114897,9242,91179
Brain,11280,401097,8543,170961,10716,885,10439,118427,5602,145581,57497,63908,154790,9758,23072,266722,6620,121256,727857,399947,6857,253152,253314,5575,642968,166752,57628,2892,64168,26289,9478,6096,51701,84539,9783,27012,5999,2903,9840,6323,145773,22895,22891,9568,2554,401994,136227,4674,57282,84894,11281,3787,3788,758,7447,5274,53822,23518,222008,147381,26047,11122,4985,3747,23349,83988,3356,404037,1996,63974,80059,146664,2832,9229,51560,7533,25830,27133,26033,54557,6855,83851,25758,9177,2566,4753,4745,2596,57586,2743,84871,348980,613212,57528,132112,815,200407,8507,1123,4747,4741
Brain,11280,956,646951,100505381,222537,64850,5121,150946,57633,84867,25791,84439,1132,10636,1607,6506,152789,361,57464,23551,2788,23154,388394,2262,8601,23620,414149,340120,51046,5579,79006,5454,83855,5456,2774,84152,389158,54550,390205,54112,5153,340146,7101,1103,23209,10858,10776,3362,114900,8303,146395,8787,11061,85397,645191,2555,654790,2557,258,646658,135,100131390,6330,134548,10777,3208,374887,1750,9480,221061,5530,55188,1812,6863,9381,168002,23415,9211,2572,146330,63982,2281,1325,25907,10846,404217,610,79734,25769,25876,654429,6017,2913,84249,389075,6496,4160,124274,27092,79085,5596
